text,doilist,paper_ids,paper_idx,paper_idx_shrink
Bioinformatics genes micro-rna and dna big data computation and analysis,10.1093/bioinformatics/bth357 10.1093/bioinformatics/18.12.1553 10.1002/asi.22922 10.1186/1471-2105-10-S12-S10,53e9a37ab7602d9702c897b1 53e9b099b7602d9703b0599c 53e9bdd4b7602d9704a8366d 53e9bdd4b7602d9704a83a73,4273075 4451699 4241197 3460282,61649 25817 3894177 997028
Quantum computing is an interdisciplinary field that seeks to understand the processing of information using quantum mechanics principles Quantum computing is the exploitation of properties of quantum states such as superposition and entanglement to perform computation It has shown its supremacy over conventional computing. Quantum computing can outperform much more than existing computers,10.1007/978-3-642-17373-8_24 10.1017/S0960129520003047 10.4230/LIPIcs.CCC.2015.488 10.1145/321556.321565 10.1109/ISIT.2013.6620325,53e99a86b7602d97022fd8c8 53e99a91b7602d9702306801 53e9a9c4b7602d9703325b0a 53e9ab55b7602d97034e9bc0 558bdd2084ae6766fdefacaa,3798643 4337761 231600 4198593 2151174,201785 1124450 2542865 339234 3395860
artificial intelligence machine learning natural language processing methods and techniques,10.1093/jamia/ocz153 10.1186/s13326-019-0216-2 10.1186/s13326-019-0215-3 10.1007/s11042-019-08021-1 10.1007/s00500-019-04654-4,5dcbd91bdf1a9c0c4155426a 5dcbd91bdf1a9c0c41554581 5dcbd91bdf1a9c0c41554583 5dcd285adf1a9c0c4155de97 5e72350393d709897cfdc5cd,2845548 2120182 3890782 3991360 2514136,2229937 2723218 4189356 2731481 2729135
recommender systems for scientific publications,10.1109/ACCESS.2020.3029722 10.1145/3097983.3098077 10.1145/2365934.2365942 10.1007/s10639-020-10133-3 10.1007/s10462-020-09819-4 10.1109/SEEDA-CECNSM49515.2020.9221836 10.1145/3383313.3418484,5e58e54091e01189527e2b47 59ae3c262bbe271c4c71f4bc 53e9ac9ab7602d97036723f4 5e72350293d709897cfdc3d8 5e72350393d709897cfdc7dd 5f86deed9fced0a24b9a148e 5f881f8d91e0118ce8f041d8,478383 1428793 2300780 1627132,69107 453803 4217147 2049635
hardware assembly language computer central processing unit CPU embedded systems,10.1145/314403.314468 10.1007/978-3-540-73625-7_3 10.1049/sej.1988.0008,53e9ac9bb7602d9703672f9e 53e9ac9bb7602d970367538b 53e9ac9bb7602d9703676c10,1029956 2338456 1011185,986231 2127212 4420558
artificial intelligence in medical diagnosis Artificial Intelligence can assist providers in a variety of patient care and intelligent health systems Artificial intelligence techniques ranging from machine learning to deep learning are prevalent in healthcare for disease diagnosis drug discovery and patient risk identification,10.1093/jamia/ocz153 10.1186/s13326-019-0216-2 10.1186/s13326-019-0215-3 10.1007/s11042-019-08021-1 10.1007/s00500-019-04654-4,5dcbd91bdf1a9c0c4155426a 5dcbd91bdf1a9c0c41554581 5dcbd91bdf1a9c0c41554583 5dcd285adf1a9c0c4155de97 5e72350393d709897cfdc5cd,2845548 2120182 3890782 3991360 2514136,2229937 2723218 4189356 2731481 2729135
information security cyber-attacks cyber defense Cybersecurity secure data storage,10.1145/1852666.1852756 10.1109/CyberSecurity.2012.28 10.1007/s10257-011-0177-1,53e9acd3b7602d97036b3338 53e9ad8db7602d9703787a65 53e9adb6b7602d97037ba4a2,4507556 2077436 4330661,1702574 1096665 1335166
mobile platforms mobile communications wireless networks internet of things,10.1109/ISIT.2013.6620777 10.1109/WCSP.2010.5633660 10.1109/MSR.2013.6624000 10.1109/ICSAMOS.2010.5642067,558bdd20e4b0cfb70a1a448c 558bdd3de4b02b9f07a3b2c0 558bde7f84ae6766fdefb539 558bdf47e4b00c3c48def541,3516872 1885105 2771386 2765579,2955625 925079 221527 2955770
robotics machine vision computer vision motion sensors autonomous robots grade of autonomy human in the loop,10.1007/978-3-030-34914-1_21 10.1109/LRA.2019.2944304 10.1155/2019/2180294 10.1016/j.neucom.2019.09.022,5dcbd5b53a55ac76dbbf7968 5dcbe882df1a9c0c415556d9 5dd3bde4df1a9c0c4156f53d 5dd66293df1a9c0c41576e13,4114862 860011,4189350 1540620
Mathematics Algebra Geometry tableaux gaussian distribution schrödinger equations Eigenvalues and eigenvectors,10.1016/0167-8655(83)90029-6 10.1016/0196-6774(84)90006-3 10.1016/j.amc.2010.03.039 10.1145/196244.196602,53e9b27bb7602d9703d21707 53e9b27bb7602d9703d21e9e 53e9b289b7602d9703d2f29a 53e9b289b7602d9703d2f5ba,1012729 24278 2773273 4709827,1563491 170049 3826483 163697
legal and ethical issues auditing intrusion detection and digital law,10.3390/a12090199 10.1145/3345837.3355952 10.1145/3359789.3359811 10.1109/TNSM.2019.2954340 10.1109/TNSM.2019.2959268,5dd7b27bdf1a9c0c41579771 5dd90628df1a9c0c4157ed6a 5dd90628df1a9c0c4157ee11 5e6a1dde93d709897c4b531b 5e6a1dde93d709897c4b533a,1340182 1245419 1247752 2701897 1478430,4803365 3119448 3593269 4839352 4214820
